;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
1;0.102564103;0.064102564;0.179487179;0.08974359;0.064102564;0.153846154;0.064102564;0.064102564;0.115384615;0.102564103
2;0.073529412;0.102941176;0.073529412;0.073529412;0.073529412;0.132352941;0.220588235;0.088235294;0.073529412;0.088235294
3;0.072463768;0.086956522;0.130434783;0.086956522;0.101449275;0.072463768;0.072463768;0.130434783;0.15942029;0.086956522
4;0.103448276;0.086206897;0.086206897;0.086206897;0.086206897;0.086206897;0.086206897;0.086206897;0.206896552;0.086206897
5;0.084745763;0.084745763;0.101694915;0.084745763;0.101694915;0.152542373;0.101694915;0.118644068;0.084745763;0.084745763
6;0.109375;0.09375;0.203125;0.078125;0.078125;0.09375;0.078125;0.09375;0.078125;0.09375
7;0.126760563;0.070422535;0.070422535;0.197183099;0.112676056;0.112676056;0.070422535;0.098591549;0.070422535;0.070422535
8;0.152941176;0.070588235;0.082352941;0.129411765;0.058823529;0.223529412;0.058823529;0.094117647;0.058823529;0.070588235
9;0.09375;0.109375;0.140625;0.078125;0.09375;0.125;0.09375;0.078125;0.09375;0.09375
10;0.109375;0.078125;0.203125;0.078125;0.109375;0.078125;0.078125;0.078125;0.09375;0.09375
11;0.222222222;0.069444444;0.069444444;0.152777778;0.069444444;0.125;0.069444444;0.069444444;0.069444444;0.083333333
12;0.071428571;0.05952381;0.05952381;0.071428571;0.05952381;0.095238095;0.071428571;0.05952381;0.05952381;0.392857143
13;0.06097561;0.085365854;0.170731707;0.06097561;0.085365854;0.073170732;0.231707317;0.073170732;0.06097561;0.097560976
14;0.102272727;0.056818182;0.056818182;0.090909091;0.386363636;0.056818182;0.056818182;0.068181818;0.068181818;0.056818182
15;0.26744186;0.069767442;0.081395349;0.081395349;0.104651163;0.069767442;0.127906977;0.069767442;0.058139535;0.069767442
16;0.182795699;0.075268817;0.053763441;0.096774194;0.193548387;0.096774194;0.064516129;0.053763441;0.053763441;0.129032258
17;0.08;0.08;0.16;0.066666667;0.133333333;0.093333333;0.08;0.093333333;0.12;0.093333333
18;0.326530612;0.081632653;0.06122449;0.112244898;0.142857143;0.051020408;0.051020408;0.051020408;0.06122449;0.06122449
19;0.064102564;0.08974359;0.064102564;0.08974359;0.076923077;0.102564103;0.115384615;0.115384615;0.141025641;0.141025641
20;0.078125;0.09375;0.1875;0.078125;0.078125;0.09375;0.109375;0.078125;0.09375;0.109375
21;0.083333333;0.05952381;0.071428571;0.05952381;0.05952381;0.05952381;0.25;0.130952381;0.154761905;0.071428571
22;0.083333333;0.083333333;0.133333333;0.083333333;0.1;0.1;0.083333333;0.1;0.15;0.083333333
23;0.117021277;0.053191489;0.074468085;0.106382979;0.372340426;0.063829787;0.053191489;0.053191489;0.053191489;0.053191489
24;0.071428571;0.071428571;0.142857143;0.071428571;0.1;0.114285714;0.142857143;0.085714286;0.085714286;0.114285714
25;0.073170732;0.097560976;0.06097561;0.097560976;0.073170732;0.06097561;0.219512195;0.073170732;0.073170732;0.170731707
26;0.089552239;0.134328358;0.089552239;0.074626866;0.074626866;0.074626866;0.104477612;0.089552239;0.194029851;0.074626866
27;0.0625;0.0625;0.3125;0.0625;0.0625;0.1;0.0875;0.0625;0.0875;0.1
28;0.060240964;0.084337349;0.084337349;0.072289157;0.13253012;0.120481928;0.096385542;0.072289157;0.072289157;0.204819277
29;0.111111111;0.111111111;0.083333333;0.180555556;0.138888889;0.083333333;0.069444444;0.069444444;0.069444444;0.083333333
30;0.069444444;0.083333333;0.069444444;0.083333333;0.069444444;0.083333333;0.083333333;0.125;0.263888889;0.069444444
31;0.070422535;0.112676056;0.098591549;0.070422535;0.084507042;0.084507042;0.070422535;0.070422535;0.267605634;0.070422535
32;0.056818182;0.113636364;0.090909091;0.079545455;0.079545455;0.079545455;0.136363636;0.136363636;0.056818182;0.170454545
33;0.0625;0.075;0.0875;0.075;0.075;0.075;0.075;0.35;0.0625;0.0625
34;0.132352941;0.102941176;0.117647059;0.073529412;0.102941176;0.073529412;0.073529412;0.161764706;0.073529412;0.088235294
35;0.107692308;0.123076923;0.107692308;0.076923077;0.092307692;0.092307692;0.123076923;0.123076923;0.076923077;0.076923077
36;0.071428571;0.171428571;0.071428571;0.071428571;0.071428571;0.1;0.085714286;0.157142857;0.114285714;0.085714286
37;0.075757576;0.151515152;0.090909091;0.106060606;0.090909091;0.075757576;0.075757576;0.106060606;0.106060606;0.121212121
38;0.222222222;0.111111111;0.069444444;0.083333333;0.069444444;0.069444444;0.111111111;0.083333333;0.097222222;0.083333333
39;0.222222222;0.083333333;0.069444444;0.138888889;0.069444444;0.097222222;0.083333333;0.083333333;0.069444444;0.083333333
40;0.086206897;0.086206897;0.172413793;0.086206897;0.120689655;0.103448276;0.086206897;0.086206897;0.086206897;0.086206897
41;0.118421053;0.118421053;0.105263158;0.223684211;0.078947368;0.092105263;0.065789474;0.065789474;0.065789474;0.065789474
42;0.081395349;0.058139535;0.058139535;0.069767442;0.093023256;0.058139535;0.081395349;0.220930233;0.058139535;0.220930233
43;0.102564103;0.153846154;0.08974359;0.217948718;0.08974359;0.076923077;0.076923077;0.064102564;0.064102564;0.064102564
44;0.117647059;0.088235294;0.088235294;0.073529412;0.102941176;0.088235294;0.088235294;0.102941176;0.176470588;0.073529412
45;0.088235294;0.132352941;0.073529412;0.088235294;0.073529412;0.073529412;0.088235294;0.073529412;0.117647059;0.191176471
46;0.160493827;0.172839506;0.061728395;0.185185185;0.061728395;0.061728395;0.061728395;0.086419753;0.074074074;0.074074074
47;0.071428571;0.142857143;0.071428571;0.05952381;0.083333333;0.261904762;0.083333333;0.071428571;0.083333333;0.071428571
48;0.105263158;0.065789474;0.078947368;0.289473684;0.078947368;0.065789474;0.078947368;0.065789474;0.078947368;0.092105263
49;0.064102564;0.064102564;0.076923077;0.076923077;0.076923077;0.141025641;0.064102564;0.064102564;0.307692308;0.064102564
50;0.166666667;0.090909091;0.075757576;0.136363636;0.075757576;0.075757576;0.075757576;0.121212121;0.075757576;0.106060606
51;0.070588235;0.152941176;0.152941176;0.082352941;0.082352941;0.105882353;0.082352941;0.094117647;0.117647059;0.058823529
52;0.081081081;0.094594595;0.081081081;0.067567568;0.121621622;0.135135135;0.067567568;0.121621622;0.135135135;0.094594595
53;0.06097561;0.256097561;0.06097561;0.06097561;0.073170732;0.06097561;0.109756098;0.109756098;0.097560976;0.109756098
54;0.075757576;0.106060606;0.090909091;0.075757576;0.075757576;0.090909091;0.090909091;0.075757576;0.242424242;0.075757576
55;0.106060606;0.075757576;0.075757576;0.090909091;0.090909091;0.090909091;0.075757576;0.090909091;0.181818182;0.121212121
56;0.131578947;0.065789474;0.065789474;0.065789474;0.078947368;0.25;0.078947368;0.131578947;0.065789474;0.065789474
57;0.073529412;0.088235294;0.102941176;0.102941176;0.088235294;0.132352941;0.117647059;0.147058824;0.073529412;0.073529412
58;0.081967213;0.098360656;0.180327869;0.081967213;0.081967213;0.081967213;0.114754098;0.081967213;0.098360656;0.098360656
59;0.0625;0.1125;0.0625;0.0875;0.075;0.0625;0.0625;0.225;0.1625;0.0875
