Columna1;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10
1;pública;nacional;sistema;provincia;mejoramiento;educación;servicios;gobiernos;decreto;salud
2;nacional;puno;establecer;distrito;proyecto;servicio;desarrollo;regionales;modificar;acceso
3;interés;perú;establece;departamento;declara;garantizar;nivel;crear;modifica;emergencia
4;necesidad;implementación;pensiones;nacional;ampliación;crea;promover;patrimonio;disposición;ministerio
5;declarar;independencia;privado;necesidad;agua;universidades;promoción;cultural;orgánica;medidas
6;declara;parque;régimen;creación;ejecución;violencia;promueve;sector;república;personal
7;región;alto;especial;pública;ciudad;madre;transporte;general;complementaria;vivienda
8;construcción;universidad;constitución;interés;conservación;calidad;empresas;público;código;trabajadores
9;preferente;marco;política;declara;provincias;personas;así;locales;incorpora;fortalecer
10;carretera;fuerzas;administración;declarar;centro;privadas;saneamiento;regular;marco;carrera
11;distritos;perúpropone;constitucional;equipamiento;público;propone;regula;campesinas;congreso;gestión
12;lima;actividades;fondos;hospital;departamentos;integral;inversión;comunidades;reglamento;situación
13;tramo;policía;jubilación;punopropone;departamento;fortalecimiento;gobierno;provincia;final;social
14;vial;beneficios;derecho;interes;nacional;continuidad;sostenible;nación;incorporar;sanitaria
15;red;armadas;pensión;infraestructura;vía;universitaria;fondo;municipales;resolución;judicial
16;puente;prevención;afiliados;capital;santa;adecuada;integral;proceso;civil;públicos
17;ayacucho;día;reforma;declaratoria;pasco;económica;productos;cargo;elecciones;autoriza
18;limapropone;tecnológico;garantiza;ubicado;río;través;bienes;canon;delito;más
19;apurímac;control;modificar;restauración;protección;recursos;otorgar;inmaterial;fiscal;apoyo
20;regional;protección;anticipada;ucayali;asfaltado;libre;pago;entidades;legislativa;unidades
