Titulo;Objeto
LEY QUE DECLARA DE INTERÉS NACIONAL, NECESIDAD PÚBLICA Y DISPONE LA CREACIÓN DE LA ZONA FRANCA COMERCIAL, INDUSTRIAL Y TECNOLÓGICA A LA REGIÓN PUNO;Propone declarar de interés nacional y necesidad pública y dispone la creación de la zona franca industrial y tecnológica a la región Puno.
"LEY QUE MODIFICA EL ARTICULO 75 DE LA LEY N° 29338, LEY DE RECURSOS HÍDRICOS Y QUE DECLARA COMO """"ZONA DE RESERVA INTANGIBLE Y DE CONSERVACIÓN INTEGRAL LA PROTECCIÓN DE LAS CABECERAS DE CUENCAS HIDROGRÁFICAS""""";"Propone declarar """"Zona reserva intangible y de conservación integral, protección y promoción a las cabeceras de cuencas hidrográficas."
LEY QUE MODIFICA DIVERSOS ARTÍCULOS DE LA LEY 28054, LEY DE PROMOCIÓN DEL MERCADO DE BIOCOMBUSTIBLES;Propone modificar de los artículos 1, 2, 4 y 5 de Ley 28054, Ley de Promoción de Mercado de Biocombustible, así como de su Primera, Segunda, Tercera y Cuarta Disposición Complementaria y Transitoria.
LEY QUE DECLARA DE NECESIDAD PÚBLICA EL ACCESO DEL SERVICIO ELÉCTRICO EN ZONAS RURALES DE LA REGIÓN PUNO;Propone declarar de necesidad pública del acceso al servicio eléctrico en las zonas rurales de la región Puno, a fin de ampliar y mejorar las líneas de generación eléctrica, atendiendo a hogares e instituciones educativas primarias y secundarias.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CULMINACION DE LA INTERCONEXIÓN VIAL ENTREL LOS DISTRITOS DE LURIGANCHO Y SAN JUAN DE LURIGANCHO QUE SE INTERCONECTAN Y EMPALMA AL SISTEMA DEL ANILLO VIAL QUE UNE LA CARRETERA CENTRAL CON LA AV. TUPAC AMARU EN LA PROVINCIA Y DEPARTAMENTO DE LIMA;Propone declarar de necesidad pública e interés nacional, la culminación de la interconexión vial entre los distritos de Lurigancho y San Juan de Lurigancho que se interconecta y empalma al sistema del anillo vial que une la Carretera Central con la Av. Túpac Amaru en la provincia y departamento de Lima.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE UN HOSPITAL CON CATEGORÍA III-1 EN LA PROVINCIA DE HUAYTARA EN EL DEPARTAMENTO DE HUANCAVELICA;Propone declarar de necesidad pública e interés nacional la construcción e implementación de un hospital con categoría III - 1 en la ciudad de Huaytará en la provincia de Huaytará en el departamento de Huancavelica, para garantizar la adecuada atención del servicio de salud pública, bajo criterios de seguridad, oportunidad y calidad
LEY QUE FOMENTA LA TECNIFICACIÓN DE LA PRODUCCIÓN Y DISTRIBUCIÓN DE PAPA DE LA ZONA SUR ANDINA;Propone fomentar la tecnificación de la producción y distribución de papa de la zona Sur Andina
LEY QUE PROPONE SE DECLARE DE INTERÉS NACIONAL Y PREFERENTE NECESIDAD PÚBLICO LA REORGANIZACIÓN GEOGRÁFICA - TERRITORIAL URBANA DE LA PROVINCIA DE SAN ROMÁN EN EL DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y preferente necesidad pública la reorganización geográfica - territorial urbana de la provincia de San Román en el departamento de Puno, a fin de lograr un adecuado desarrollo urbano con la creación de distritos adicionales al distrito San Miguel, acorde a su distribución especial y crecimiento poblacional.
LEY QUE PROHIBE LA UTILIZACIÓN DE RECURSOS ECONÓMICOS Y LOGISTICOS DESTINADOS A LA PROMOCIÓN, PREVENCIÓN, DIAGNÓSTICO, TRATAMIENTO Y REHEBILITACIÓN DEL CÁNCER PARA OTROS FINES;Propone prohíber la utilización de recursos económicos y logísticos destinados a la promoción, prevención, diagnóstico, tratamiento y rehabilitación del cáncer para otros fines
LEY QUE DECLARA DE INTERES NACIONAL LA PROMOCIÓN Y REACTIVACIÓN DE LA ARTESANÍA EN EL PERÚ;Propone declarar de interés nacional la promoción y reactivación de la artesanía en el Perú.
LEY QUE DECLARA DE PRIORITARIO INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE UNIDADES PRODUCTIVAS DE INVESTIGACIÓN, PARA EL MEJORAMIENTO GENÉTICO, COMERCIALIZACIÓN, VALOR AGREGADO Y CRIANZA ADECUADA DE CAMÉLIDOS SUDAMERICANOS EN EL PERÚ;Propone declara de prioritario interés nacional y necesidad pública la creación de Unidades Productivas de Investigación, para el Mejoramiento Genético, Comercialización, Valor Agregado y Crianza Adecuada de Camélidos Sudamericanos en el Perú.
LEY QUE CREA Y REGULA LA ZONA ECONOMICA ESPECIAL DE AREQUIPA;"Propone declarar de interés nacional y crease la Zona Económica Especial de Arequipa ZEEDA, para la realización de actividades industriales, agroindustriales de maquila y de servicios; con la finalidad de contribuir al desarrollo socioeconómico sostenible del departamento de Arequipa, a través de la promoción de la inversión y desarrollo tecnológico."
LEY QUE MODIFICA EL DECRETO DE URGENCIA 034-2019, REFERIDO A LA INCORPORACIÓN DE LA DÉCIMA SEGUNDA DISPOSICIÓN COMPLEMENTARIA FINAL A LA LEY 30220, LEY UNIVERSITARIA E INCORPORA LAS FACULTADES DE CREACIÓN DE COMISIONES REORGANIZADORAS DE UNIVERSIDADES PUBLICAS  Y DE UNIVERSIDADES PRIVADAS ASOCIATIVAS CREADAS POR LEY, CON LICENCIA INSTITUCIONAL DENEGADA;Propone fortalecer el rol del Ministerio de Educación, como ente rector de la Política de Aseguramiento de la Calidad de la Educación Superior Universitaria, teniendo la finalidad de garantizar la calidad y continuidad del Servicio Educativo Universitario, dándole al Ministerio de Educación las facultades de creación de comisiones reorganizadoras de Universidades Públicas y de Universidades Privadas Asociativas creadas por Ley, con Licencia Institucional Denegada
LEY QUE MODIFICA EL ARTÍCULO 2 E INCORPORA UNA DISPOSICION COMPLEMENTARIA FINAL A LA LEY 28514, LEY QUE PROHÍBE LA IMPORTACIÓN DE ROPA Y CALZADO USADOS;Propone modificar el artículo 2 e incorporar una Disposición Complementaria Final a la Ley 28514 Ley que prohíbe la importación de ropa y calzado usados.
LEY QUE SANCIONA CON CADENA PERPETUA E INHABILITACIÓN A LOS FUNCIONARIOS PÚBLICOS POR ENRIQUECIMIENTO ILICITO;Propone modificar el artículo 401 del Código Penal.
LEY QUE PROMUEVE E IMPULSA LA MICRO Y PEQUEÑA EMPRESA Y LA REACTIVACIÓN DEL EMPLEO A TRAVEZ DE FONDOS CONCURSABLES NO REEMBOLSABLES;Propone crear el Fondo concursable no reembolsable de promoción y reactivación económica de la pequeña y microempresa y del empleo, a nivel nacional.
