Titulo;Objeto
"LEY QUE DECLARA DE INTERES NACIONAL LA INVESTIGACIÓN, RECUPERACIÓN, CONSERVACIÓN Y PUESTA EN VALOR """"LA CAPILLA DE PUCYU ÑAHUI, SU CERCO PARIMETRICO Y TORRE CAMPANARIO"""" UBICADO EN LA COMUNIDAD CAMPESINA DE JALCCO, DISTRITO DE LIVITACA, PROVINCIA DE CHUMBIVILCAS, DEPARTAMENTO DE CUSCO";"Propone declara de interés nacional la investigación, recuperación, conservación y puesta en valor """"La Capilla de Pucyu Ñahui, su Cerco Perimétrico y Torre Campanario """" ubicado en la comunidad campesina de Jalcco, distrito de Livitaca, provincia de Chumbivilcas, departamento de Cusco"
LEY DE REFORMA CONSTITUCIONAL QUE RECONOCE COMO SUJETOS DE DERECHO A LOS RÍOS AMAZÓNICOS, ESTABLECE UN SISTEMA ESPECIAL DE PROTECCIÓ Y CONSERVACIÓN INTEGRAL POR SUS ESPECIALES CONDICIONES;Propone reconocer a los ríos de la Amazonía como sujeto y titulares de derecho debido al valor intrínseco que tienen y la importancia que detenta con respecto al medio ambiente y ecosistemas del Perú, a fin de garantizar su protección especial.
LEY QUE INCORPORA NUEVA CAUSAL DE VACANCIA EN EL ARTÍCULO 22 DE LA LEY 27972, LEY ORGÁNICA DE MUNICIPALIDADES;Propone incorporar el numeral 11) al artículo 22.- Vacancia del cargo de alcalde o regidor, de la Ley Orgánica de Municipalidades.
LEY QUE CREA EL SISTEMA NACIONAL UNIFICADO DE SALUD - SUS;Propone crear el sistema Nacional Unificado de Salud - SUS, cuyo ente rector es el Ministro de Salud, quien asumirá la conducción administrativa de  los Hospitales de nivel II y III que se encuentran a cargo de las direcciones o gerencias regionales de salud de los gobiernos regionales.
LEY QUE CREA EL SISTEMA NACIONAL UNIFICADO DE SALUD;Propone crear el Sistema Nacional Unificado de Salud - SUS, cuyo ente rector será el Ministro de Salud quien asumirá la conducción administrativa de los Hospitales de nivel II y III que se encuentran a cargo de las direcciones o gerencias regionales de salud de los gobiernos regionales.
LEY QUE FACULTA EXCEPCIONALMENTE A LAS ENTIDADES DEL GOBIERNO NACIONAL,GOBIERNO REGIONAL Y LOCALES A CONTRATAR A LAS SOCIEDADES DE AUDITORÍA;Propone otorgar a la Contraloría General de la República la facultad de delegar de manera temporal a las entidades del Gobierno Nacional, los Gobiernos Regionales y los Gobiernos Locales la contratación de las Sociedades de Auditoría que hayan sido previamente designadas por la Contraloría General de la República.
LEY QUE DECLARA DE PRIORITARIO INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE UNIDADES PRODUCTIVAS DE INVESTIGACIÓN, PARA EL MEJORAMIENTO GENÉTICO, COMERCIALIZACIÓN, VALOR AGREGADO Y CRIANZA ADECUADA DE CAMÉLIDOS SUDAMERICANOS EN EL PERÚ;Propone declara de prioritario interés nacional y necesidad pública la creación de Unidades Productivas de Investigación, para el Mejoramiento Genético, Comercialización, Valor Agregado y Crianza Adecuada de Camélidos Sudamericanos en el Perú.
LEY QUE MODIFICA EL DECRETO DE URGENCIA 034-2019, REFERIDO A LA INCORPORACIÓN DE LA DÉCIMA SEGUNDA DISPOSICIÓN COMPLEMENTARIA FINAL A LA LEY 30220, LEY UNIVERSITARIA E INCORPORA LAS FACULTADES DE CREACIÓN DE COMISIONES REORGANIZADORAS DE UNIVERSIDADES PUBLICAS  Y DE UNIVERSIDADES PRIVADAS ASOCIATIVAS CREADAS POR LEY, CON LICENCIA INSTITUCIONAL DENEGADA;Propone fortalecer el rol del Ministerio de Educación, como ente rector de la Política de Aseguramiento de la Calidad de la Educación Superior Universitaria, teniendo la finalidad de garantizar la calidad y continuidad del Servicio Educativo Universitario, dándole al Ministerio de Educación las facultades de creación de comisiones reorganizadoras de Universidades Públicas y de Universidades Privadas Asociativas creadas por Ley, con Licencia Institucional Denegada
LEY QUE PROPONE SE DECLARE DE INTERÉS Y PREFERENTE NECESIDAD PÚBLICA EL FORTALECIMIENTO DE LA ENSEÑANZA DE VALORES ÉTICOS Y CIVISMO EN ETAPA ESCOLAR, COMO MECANISMO DE LUCHA CONTRA LA CORRUPCIÓN;Propone declarar de interés nacional y preferente necesidad pública la enseñanza del curso de valores éticos y civismo en etapa escolar, como mecanismo de lucha contra la corrupción.
LEY QUE MODIFICA LOS ARTÍCULOS 19° Y 20° DEL CÓDIGO CIVIL REFERIDO AL ORDEN DEL APELLIDO DE LOS HIJOS;Propone modificar los artículos 19 y 20 del Código Civil a efectos de establecer un mecanismo de solución ante la disconformidad de  los progenitores para asignar el orden de apellidos de los hijos.
LEY DEL SISTEMA DE INTELIGENCIA NACIONAL - SINA  Y DE LA DIRECCIÓN NACIONAL DE INTELIGENCIA - DINI;Propone establecer el marco jurídico que regula los principios, organización, atribuciones, funciones, coordinación, control y fiscalización, del Sistema de Inteligencia Nacional (en adelante SINA), asimismo, regula la organización, funciones, régimen laboral y económico de la Dirección Nacional de Inteligencia (en adelante DINI)
