Titulo;Objeto
"LEY QUE DECLARA DE INTERES NACIONAL LA INVESTIGACIÓN, RECUPERACIÓN, CONSERVACIÓN Y PUESTA EN VALOR """"LA CAPILLA DE PUCYU ÑAHUI, SU CERCO PARIMETRICO Y TORRE CAMPANARIO"""" UBICADO EN LA COMUNIDAD CAMPESINA DE JALCCO, DISTRITO DE LIVITACA, PROVINCIA DE CHUMBIVILCAS, DEPARTAMENTO DE CUSCO";"Propone declara de interés nacional la investigación, recuperación, conservación y puesta en valor """"La Capilla de Pucyu Ñahui, su Cerco Perimétrico y Torre Campanario """" ubicado en la comunidad campesina de Jalcco, distrito de Livitaca, provincia de Chumbivilcas, departamento de Cusco"
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE CCOCHAPAMPA EN LA PROVINCIA DE HUAMANGA, DEPARTAMENTO DE AYACUCHO;Propone declarar de necesidad pública e interés nacional la creación del distrito de Ccochapampa en la provincia de Huamanga, departamento de Ayacucho.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SINCHIMACHE, EN LA PROVINCIA DE CUTERVO EN EL DEPARTAMENTO DE CAJAMARCA;Propone declarar de interés nacional y necesidad pública la creación del distrito de Sinchimache, en la provincia de Cutervo, en el departamento de Cajamarca.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN Y EQUIPAMIENTO DE UN HOSPITAL EN EL DISTRITO DE CRUCERO, PROVINCIA DE CARABAYA DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y necesidad pública la construcción y equipamiento de un hospital en el distrito de Crucero, provincia de Carabaya, departamento de Puno.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE AZAROMA, PROVINCIA DE CARABAYA, DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y necesidad pública la creación del distrito de Azaroma, provincia de Carabaya, departamento de Puno.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERES NACIONAL EL MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA, EQUIPAMIENTO Y RECATEGORIZACIÓN DEL CENTRO DE SALUD (CATEGORÍA 1. 4) AL HOSPITAL CATEGIRÍA II. 1 DE LA PROVINCIA DE URUBAMBA, DEPARTAMENTO DE CUSCO;Propone declarar de necesidad pública e interés nacional el mejoramiento de la capacidad resolutiva, equipamiento y recategorización del centro de salud (categoría 1. 4) al hospital categoría II. 1 de la provincia de Urubamba, departamento de Cusco.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL AEROPUERTO DE NASCA EN LA PROVINCIA DE NASCA EN EL DEPARTAMENTO DE ICA;Propone declarar de necesidad pública e interés nacional la construcción de un aeropuerto en la provincia de Nasca en el departamento de Ica para promover su desarrollo sostenible, sin menoscabo de sus áreas arqueológicas protegidas y el medio ambiente.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CULMINACION DE LA INTERCONEXIÓN VIAL ENTREL LOS DISTRITOS DE LURIGANCHO Y SAN JUAN DE LURIGANCHO QUE SE INTERCONECTAN Y EMPALMA AL SISTEMA DEL ANILLO VIAL QUE UNE LA CARRETERA CENTRAL CON LA AV. TUPAC AMARU EN LA PROVINCIA Y DEPARTAMENTO DE LIMA;Propone declarar de necesidad pública e interés nacional, la culminación de la interconexión vial entre los distritos de Lurigancho y San Juan de Lurigancho que se interconecta y empalma al sistema del anillo vial que une la Carretera Central con la Av. Túpac Amaru en la provincia y departamento de Lima.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE UN HOSPITAL CON CATEGORÍA III-1 EN LA PROVINCIA DE HUAYTARA EN EL DEPARTAMENTO DE HUANCAVELICA;Propone declarar de necesidad pública e interés nacional la construcción e implementación de un hospital con categoría III - 1 en la ciudad de Huaytará en la provincia de Huaytará en el departamento de Huancavelica, para garantizar la adecuada atención del servicio de salud pública, bajo criterios de seguridad, oportunidad y calidad
LEY QUE PROPONE SE DECLARE DE INTERÉS NACIONAL Y PREFERENTE NECESIDAD PÚBLICO LA REORGANIZACIÓN GEOGRÁFICA - TERRITORIAL URBANA DE LA PROVINCIA DE SAN ROMÁN EN EL DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y preferente necesidad pública la reorganización geográfica - territorial urbana de la provincia de San Román en el departamento de Puno, a fin de lograr un adecuado desarrollo urbano con la creación de distritos adicionales al distrito San Miguel, acorde a su distribución especial y crecimiento poblacional.
LEY QUE DISPONE EL TRASLADO Y REUBICACIÓN DEL AEROPUERTO INTERNACIONAL CAPITÁN FAP JOSÉ A. QUIÑONES GONZALES DE CHICLAYO - LAMBAYEQUE;Propone disponer el traslado y reubicación del Aeropuerto Internacional Capitán FAP José Abelino Quiñones Gonzales de Chiclayo al distrito de Mórrope de la provincia y departamento de Lambayeque.
LEY QUE PROMUEVE MEDIDAS PARA REACTIVAR EL TRANSPORTE FLUVIAL EN EL DEPARTAMENTO DE LORETO EN EL MARCO DE LA EMERGENCIA POR LA PANDEMIA DEL COVID-19;Propone establecer medidas orientadas a reactivar el transporte fluvial en el departamento de Loreto y promover su recuperación económica en el marco de la emergencia por la pandemia del Covid-19.
LEY DE FORTALECIMIENTO DEL PODER JUDICIAL, DURACIÓN DE MANDATOS, DIRECCIÓN DE ÓRGANOS DE APOYO DEL PODER JUDICIAL Y DERECHOS DE LOS JUECES Y TERMINACIÓN DE LA CARRERA JUDICIAL;Propone fortalecer el Poder Judicial, duración de mandatos, Dirección de Órganos de Apoyo del Poder Judicial y derechos de los jueces y terminación de la carrera judicial.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA REHABILITACIÓN DE LA AV. PROCERES DE LA INDEPENDENCIA, EN EL DISTRITO DE SAN JUAN DE LURIGANCHO, PROVINCIA Y DEPARTAMENTO DE LIMA;Propone declarar de interés nacional y necesidad pública la rehabilitación de la Av Próceres de la Independencia, en el distrito de San Juan de Lurigancho, provincia y departamento de Lima.
LEY QUE PROPONE SE DECLARE DE INTERÉS NACIONAL Y PREFERENTE NECESIDAD PÚBLICA LA CREACIÓN DE LA AUTORIDAD AUTÓNOMA PARA LA DESCONTAMINACIÓN Y EL DESARROLLO INTEGRAL DE LA CUENCA LLALLIMAYO EN EL DEPARTAMENTO DE PUNO;propone declarar de interés y preferente necesidad pública la creación de la autoridad autónoma para la descontaminación y el desarrollo integral de la cuenca Llallimayo en el departamento de Puno.
LEY QUE CREA Y REGULA LA ZONA ECONOMICA ESPECIAL DE AREQUIPA;"Propone declarar de interés nacional y crease la Zona Económica Especial de Arequipa ZEEDA, para la realización de actividades industriales, agroindustriales de maquila y de servicios; con la finalidad de contribuir al desarrollo socioeconómico sostenible del departamento de Arequipa, a través de la promoción de la inversión y desarrollo tecnológico."
