Titulo;Objeto
LEY DE REFORMA CONSTITUCIONAL QUE RECONOCE COMO SUJETOS DE DERECHO A LOS RÍOS AMAZÓNICOS, ESTABLECE UN SISTEMA ESPECIAL DE PROTECCIÓ Y CONSERVACIÓN INTEGRAL POR SUS ESPECIALES CONDICIONES;Propone reconocer a los ríos de la Amazonía como sujeto y titulares de derecho debido al valor intrínseco que tienen y la importancia que detenta con respecto al medio ambiente y ecosistemas del Perú, a fin de garantizar su protección especial.
"LEY QUE MODIFICA EL ARTICULO 75 DE LA LEY N° 29338, LEY DE RECURSOS HÍDRICOS Y QUE DECLARA COMO """"ZONA DE RESERVA INTANGIBLE Y DE CONSERVACIÓN INTEGRAL LA PROTECCIÓN DE LAS CABECERAS DE CUENCAS HIDROGRÁFICAS""""";"Propone declarar """"Zona reserva intangible y de conservación integral, protección y promoción a las cabeceras de cuencas hidrográficas."
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE UN HOSPITAL CON CATEGORÍA III-1 EN LA PROVINCIA DE HUAYTARA EN EL DEPARTAMENTO DE HUANCAVELICA;Propone declarar de necesidad pública e interés nacional la construcción e implementación de un hospital con categoría III - 1 en la ciudad de Huaytará en la provincia de Huaytará en el departamento de Huancavelica, para garantizar la adecuada atención del servicio de salud pública, bajo criterios de seguridad, oportunidad y calidad
LEY QUE PROPONE SE DECLARE DE INTERÉS NACIONAL Y PREFERENTE NECESIDAD PÚBLICO LA REORGANIZACIÓN GEOGRÁFICA - TERRITORIAL URBANA DE LA PROVINCIA DE SAN ROMÁN EN EL DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y preferente necesidad pública la reorganización geográfica - territorial urbana de la provincia de San Román en el departamento de Puno, a fin de lograr un adecuado desarrollo urbano con la creación de distritos adicionales al distrito San Miguel, acorde a su distribución especial y crecimiento poblacional.
LEY QUE MODIFICA EL ARTÍCULO 6 DE LA LEY 31041 LEY DE URGENCIA MÉDICA PARA LA DETERCCIÓN OPORTUNA Y ATENCIÓN INTEGRAL DEL CÁNCER DEL NIÑO Y ADOLESCENTES;Propone modificar el artículo 6 de la Ley 31041 Ley de Urgencia Médica para la detención oportuna y atención integral del cáncer del niño y del adolescente.
LEY QUE PROPONE SE DECLARE DE INTERÉS NACIONAL Y PREFERENTE NECESIDAD PÚBLICA LA CREACIÓN DE LA AUTORIDAD AUTÓNOMA PARA LA DESCONTAMINACIÓN Y EL DESARROLLO INTEGRAL DE LA CUENCA LLALLIMAYO EN EL DEPARTAMENTO DE PUNO;propone declarar de interés y preferente necesidad pública la creación de la autoridad autónoma para la descontaminación y el desarrollo integral de la cuenca Llallimayo en el departamento de Puno.
LEY QUE BRINDA ATRIBUCIONES A LAS ASOCIACIONES DE PADRES DE FAMILIA Y COMITÉS DE AULA PARA LA PREVENCIÓN Y SEGUIMIENTO DE CASOS DE VIOLENCIA Y ACOSO ESCOLAR;"Propone brindar atribuciones a las asociaciones de padres de familia para prevenir y hacer seguimiento de los casos de acoso y violencia escolar, a fin de que, los estudiantes de las diferentes instituciones educativas públicas y privadas de educación básica regular y especial; Educación Técnica Productiva y Básica Alternativa, Puedan gozar de un desarrollo integral y armoniosos libres de acoso y violencia escolar."
LEY QUE PLANTEA DE INTERÉS NACIONAL LA REPATRIACIÓN DE LOS RESTOS FAMILIARES DE JOSÉ GABRIEL CONDORCANQUI NOGUERA, TÚPAC AMARU;Declárese de interés nacional y necesidad pública la repatriación de los restos de Fernando Túpac Amaru y de Juan Bautista Túpac Amaru, la construcción de un Mausoleo para honrar sus restos, así como la implementación de una comisión que realice el estudio histórico y la investigación científica del destino de la familia de José Gabriel Túpac Amaru, la que fuera perseguida, sacrificada y/o expatriada como consecuencia del levantamiento de José Gabriel Condorcanqui Noguera llamado igualmente José Gabriel Túpac Amaru, conocido posteriormente como Túpac Amaru II o simplemente Túpac Amaru y sus esposa Micaela Bastidas Puyuccahua.
LEY QUE DEROGA EL DECRETO LEGISLATIVO 1260, LEY QUE FORTALECE EL CUERPO GENERAL DE BOMBEROS VOLUNTARIOS DEL PERÚ COMO PARTE DEL SISTEMA NACIONAL DE SEGURIDAD CIUDADANA Y REGUILA LA INTENDENCIA NACIONAL DE BOMBEROS DEL PERÚ;La presente norma tiene por objeto restituir la autonomía y personería jurídica del Cuerpo General de Bomberos Voluntarios del Perú, como la autoridad competente en materia de prevención, control y extinción de incendios, está conformado por los bomberos voluntarios en actividad, los bomberos asimilados y los bomberos en situación de retiro, que prestan servicio público de manera voluntaria y ad honorem.
LEY QUE EXCLUYE A LOS TRABAJADORES JURISDICCIONALES Y ADMINISTRATIVOS DEL RÉGIMEN DEL SERVICIO CIVIL;La presente ley tiene por objeto que los trabajadores jurisdiccionales y administrativos del Poder Judicial, con exclusión de los jueces, deben regirse por el régimen laboral de la actividad privada y están exentos de los alcances de la Ley 30057, Ley del Servicio Civil.
LEY QUE MODIFICA LA VIGÉSIMA CUARTA DISPOSICIÓN COMPLEMENTARIA, TRANSITORIA Y FINAL DE LA LEY 29944, LEY DE REFORMA MAGISTERIAL.;"La presente Ley tiene por objeto modificar la Vigésima Cuarta Disposición Complementaria, Transitoria y Final de la Ley 29944, Ley de Reforma Magisterial; a fin de que se suspenda la implementación de la evaluación de desempeño docente."
LEY QUE MODIFICA LOS ARTÍCULOS 06, 20, 21, 22, 25, 68Y 69 DE LA LEY Nº 28036, LEY DE PROMOCIÓN Y DESARROLLO DEL DEPORTE PARA OTORGAR BECAS DE POSGRADO A DEPORTISTAS CALIFICADOS DE ALTO NIVEL PARA DIRIGENCIA SOSTENIBLE DEL SISTEMA INTEGRAL DEPORTIVO NACIONAL;La presente Ley tiene por objeto modificar los artículos 06, 20, 21, 22, 25, 68 y 69 de la Ley Nº 28036, Ley de promoción y Desarrollo del Deporte a fin de otorgar becas de posgrado a deportistas calificados y calificados de alto nivel asegurando la dirigencia sostenible del sistema integral deportivo nacional.
LEY QUE COMPLEMENTA LOS ALCANCES DE LA LEY 28099 Y SUS MODIFICATORIAS, FACULTANDO LA VENTA DIRECTA A FAVOR DE TERCEROS CON FINES DE DESARROLLO URBANO DE PREDIOS PROPIEDAD DE LA MUNICIPALIDAD DISTRITAL DE MAJES PROVINCIA DE CAYLLOMA DEPARTAMENTO DE AREQUIPA DENTRO DE PROGRAMAS MUNICIPALES DE VIVIENDA Y/O DE FORMALIZACIÓN DE ASENTAMIENTOS HUMANOS APROBADOS POR EL GOBIERNO LOCAL DE MAJES-AREQUIPA;Propone facultar a la Municipalidad distrital de Majes, la venta directa de los predios de dominio privado de su propiedad que le fueron transferidos mediante la Ley 28099-modificada por las leyes 28466 y 28630, sólo con fines de desarrollo urbano a favor de terceros y dentro de los alcances de los Programas Municipales de Vivienda y/o Programas de Formalización de Asentamientos Humanos, predios destinados a viviendas tipo huerta, conforme lo faculta la Ley Orgánica de Municipalidades.
LEY QUE MODIFICA EL DECRETO LEGISLATIVO N° 1153 E INCORPORA AL ARTICULO 8° LA DENOMINACION BONIFICACIÓN POR PUESTO ESPECIALIZADO O DE DEDICACIÓN EXCLUSIVA EN SERVICIOS DE SALUD PÚBLICA POR EL APOYO DEL PERSONAL TÉCNICO Y AUXILIAR ASISTENCIAL DE SALUD;Propone incorporar el literal f) en el numeral 8.2 del artículo 8 del Decreto Legislativo 1153. Decreto que regula la política integral de compensaciones y entregas económicas de personal de la salud al servicio del Estado, referido a la bonificación en el puesto de salud pública por las labores de apoyo del personal técnico o auxiliar asistencial de salud.
LEY QUE MOFICICA EL ARTICULO 12 E INCORPORA EL TÍTULO VII DE EDUCACIÓN, EVALUACIÓN Y BENEFICIOS EN LA LEY 29108, LEY DE ASCENSOS DE OFICIALES DE LAS FUERZAS ARMADAS;"Propone modificar el artículo  12 e incorporar el Título VII, referido a Educación, Evaluación y Beneficios en la Ley 29108, Ley de ascensos de Oficiales de las Fuerzas Armadas, con la finalidad de mejorar la formación de los oficiales de las fuerzas armadas; promoviendo el aprendizaje de nuevos conocimientos especializados, competencias y capacidades como condiciones de calificación en su hoja de vida con mira al proceso de ascenso; garantizándose una línea de carrera profesional que permita seleccionar y promover a los oficiales más idóneos, sobre la base del mérito, competencia, imparcialidad y transparencia, en estricto cumplimiento al Principio de Igualda"
LEY QUE ESTABLECE LA DENOMINACIÓN ADECUADA DE LOS PROFESIONALES DE LA SALUD QUE BRINDAN ATENCIÓN A LA MUJER EN SALUD REPRODUCTIVA Y PROHIBE LA INDEBIDA UTILIZACIÓN DE TÉRMINOS QUE SE PRESTAN A CONFUSIÓN Y PONER EN RIESGO LA SALUD;"Propone garantizar los derechos a la salud y a la vida de la mujer y de los usuarios al establecer la adecuada denominación de los profesionales de la salud que atienden la salud reproductiva de la mujer, en concordancia con su formación y competencia profesional; y evitar la intrusión en la profesión del médico cirujano."
LEY QUE MODIFICA EL TEXTO ÚNICO ORDENADO DE LA LEY DEL SISTEMA PRIVADO DE ADMINISTRACIÓN DE FONDOS DE PENSIONES PARA OTORGARLE MEJORES OPCIONES A LOS AFILIADOS RESPECTO A LA INVERSIÓN DE SUS FONDOS DE PENSIONES POR PARTE DE LAS AFP;Propone modificar los artículos 18-A y 25-D del Texto Único Ordenado del Sistema Privado de Administración de Fondos de Pensiones (SPP), aprobado por el Decreto Supremo 054-97-EF, a efectos de mejorar la administración de los fondos de pensiones del SPP, promoviendo una mayor diversificación de las inversiones realizadas por las Administradoras Privadas de Fondos de Pensiones (AFP) al flexibilizar el límite de inversión en el extranjero, que permita tener mejores beneficios y/o retornos a los afiliados, en concordancia con el derecho a acceder a una pensión digna y decente previsto en la normatividad vigente y en la Constitución Política del Estado
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA PROMOVER EL CULTIVO, PRODUCCIÓN INDUSTRIALIZACIÓN, COMERCIALIZACIÓN Y EXPORTACIÓN DE MORINGA OLEIFERA PARA CONSUMO HUMANO;"Propone regular, formaliza y ordenar la producción, transformación, comercialización y exportación; así como el uso tradicional y moderno de la moringa oleífera, por las propiedades medicinales, industriales, agrícolas y nutricionales."
LEY QUE NORMA ACTIVIDADES DEL PERSONAL DE LAS FUERZAS ARMADAS Y POLICÍA NACIONAL EN ESTADO DE EMERGENCIA SANITARIA;Propone regular, conforme lo estipulado en la presente Ley, las siguientes actividades del personal de las fuerzas armadas y policía nacional hasta el término del estado de emergencia sanitaria.
