Titulo;Objeto
"LEY QUE DECLARA DE INTERES NACIONAL LA INVESTIGACIÓN, RECUPERACIÓN, CONSERVACIÓN Y PUESTA EN VALOR """"LA CAPILLA DE PUCYU ÑAHUI, SU CERCO PARIMETRICO Y TORRE CAMPANARIO"""" UBICADO EN LA COMUNIDAD CAMPESINA DE JALCCO, DISTRITO DE LIVITACA, PROVINCIA DE CHUMBIVILCAS, DEPARTAMENTO DE CUSCO";"Propone declara de interés nacional la investigación, recuperación, conservación y puesta en valor """"La Capilla de Pucyu Ñahui, su Cerco Perimétrico y Torre Campanario """" ubicado en la comunidad campesina de Jalcco, distrito de Livitaca, provincia de Chumbivilcas, departamento de Cusco"
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE CCOCHAPAMPA EN LA PROVINCIA DE HUAMANGA, DEPARTAMENTO DE AYACUCHO;Propone declarar de necesidad pública e interés nacional la creación del distrito de Ccochapampa en la provincia de Huamanga, departamento de Ayacucho.
LEY DE REFORMA CONSTITUCIONAL QUE RECONOCE COMO SUJETOS DE DERECHO A LOS RÍOS AMAZÓNICOS, ESTABLECE UN SISTEMA ESPECIAL DE PROTECCIÓ Y CONSERVACIÓN INTEGRAL POR SUS ESPECIALES CONDICIONES;Propone reconocer a los ríos de la Amazonía como sujeto y titulares de derecho debido al valor intrínseco que tienen y la importancia que detenta con respecto al medio ambiente y ecosistemas del Perú, a fin de garantizar su protección especial.
LEY QUE INCORPORA NUEVA CAUSAL DE VACANCIA EN EL ARTÍCULO 22 DE LA LEY 27972, LEY ORGÁNICA DE MUNICIPALIDADES;Propone incorporar el numeral 11) al artículo 22.- Vacancia del cargo de alcalde o regidor, de la Ley Orgánica de Municipalidades.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SINCHIMACHE, EN LA PROVINCIA DE CUTERVO EN EL DEPARTAMENTO DE CAJAMARCA;Propone declarar de interés nacional y necesidad pública la creación del distrito de Sinchimache, en la provincia de Cutervo, en el departamento de Cajamarca.
LEY QUE DECLARA DE INTERÉS NACIONAL, NECESIDAD PÚBLICA Y DISPONE LA CREACIÓN DE LA ZONA FRANCA COMERCIAL, INDUSTRIAL Y TECNOLÓGICA A LA REGIÓN PUNO;Propone declarar de interés nacional y necesidad pública y dispone la creación de la zona franca industrial y tecnológica a la región Puno.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN Y EQUIPAMIENTO DE UN HOSPITAL EN EL DISTRITO DE CRUCERO, PROVINCIA DE CARABAYA DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y necesidad pública la construcción y equipamiento de un hospital en el distrito de Crucero, provincia de Carabaya, departamento de Puno.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE AZAROMA, PROVINCIA DE CARABAYA, DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y necesidad pública la creación del distrito de Azaroma, provincia de Carabaya, departamento de Puno.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERES NACIONAL EL MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA, EQUIPAMIENTO Y RECATEGORIZACIÓN DEL CENTRO DE SALUD (CATEGORÍA 1. 4) AL HOSPITAL CATEGIRÍA II. 1 DE LA PROVINCIA DE URUBAMBA, DEPARTAMENTO DE CUSCO;Propone declarar de necesidad pública e interés nacional el mejoramiento de la capacidad resolutiva, equipamiento y recategorización del centro de salud (categoría 1. 4) al hospital categoría II. 1 de la provincia de Urubamba, departamento de Cusco.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA OPERATIVIDAD DE UNA PLANTA DE PRODUCCIÓN DE VACUNAS CONTRA LA COVID-19;Propone declarar de interés nacional y necesidad pública la creación y operación de una planta de producción de vacunas contra la covid-19 para inoculación de la población nacional.
LEY QUE CREA EL SISTEMA NACIONAL UNIFICADO DE SALUD - SUS;Propone crear el sistema Nacional Unificado de Salud - SUS, cuyo ente rector es el Ministro de Salud, quien asumirá la conducción administrativa de  los Hospitales de nivel II y III que se encuentran a cargo de las direcciones o gerencias regionales de salud de los gobiernos regionales.
LEY QUE CREA EL SISTEMA NACIONAL UNIFICADO DE SALUD;Propone crear el Sistema Nacional Unificado de Salud - SUS, cuyo ente rector será el Ministro de Salud quien asumirá la conducción administrativa de los Hospitales de nivel II y III que se encuentran a cargo de las direcciones o gerencias regionales de salud de los gobiernos regionales.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL AEROPUERTO DE NASCA EN LA PROVINCIA DE NASCA EN EL DEPARTAMENTO DE ICA;Propone declarar de necesidad pública e interés nacional la construcción de un aeropuerto en la provincia de Nasca en el departamento de Ica para promover su desarrollo sostenible, sin menoscabo de sus áreas arqueológicas protegidas y el medio ambiente.
"LEY QUE MODIFICA EL ARTICULO 75 DE LA LEY N° 29338, LEY DE RECURSOS HÍDRICOS Y QUE DECLARA COMO """"ZONA DE RESERVA INTANGIBLE Y DE CONSERVACIÓN INTEGRAL LA PROTECCIÓN DE LAS CABECERAS DE CUENCAS HIDROGRÁFICAS""""";"Propone declarar """"Zona reserva intangible y de conservación integral, protección y promoción a las cabeceras de cuencas hidrográficas."
LEY QUE MODIFICA DIVERSOS ARTÍCULOS DE LA LEY 28054, LEY DE PROMOCIÓN DEL MERCADO DE BIOCOMBUSTIBLES;Propone modificar de los artículos 1, 2, 4 y 5 de Ley 28054, Ley de Promoción de Mercado de Biocombustible, así como de su Primera, Segunda, Tercera y Cuarta Disposición Complementaria y Transitoria.
LEY QUE DECLARA DE NECESIDAD PÚBLICA EL ACCESO DEL SERVICIO ELÉCTRICO EN ZONAS RURALES DE LA REGIÓN PUNO;Propone declarar de necesidad pública del acceso al servicio eléctrico en las zonas rurales de la región Puno, a fin de ampliar y mejorar las líneas de generación eléctrica, atendiendo a hogares e instituciones educativas primarias y secundarias.
LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CULMINACION DE LA INTERCONEXIÓN VIAL ENTREL LOS DISTRITOS DE LURIGANCHO Y SAN JUAN DE LURIGANCHO QUE SE INTERCONECTAN Y EMPALMA AL SISTEMA DEL ANILLO VIAL QUE UNE LA CARRETERA CENTRAL CON LA AV. TUPAC AMARU EN LA PROVINCIA Y DEPARTAMENTO DE LIMA;Propone declarar de necesidad pública e interés nacional, la culminación de la interconexión vial entre los distritos de Lurigancho y San Juan de Lurigancho que se interconecta y empalma al sistema del anillo vial que une la Carretera Central con la Av. Túpac Amaru en la provincia y departamento de Lima.
