Titulo;Objeto
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA OPERATIVIDAD DE UNA PLANTA DE PRODUCCIÓN DE VACUNAS CONTRA LA COVID-19;Propone declarar de interés nacional y necesidad pública la creación y operación de una planta de producción de vacunas contra la covid-19 para inoculación de la población nacional.
LEY QUE MODIFICA EL ARTÍCULO 11 DE LA LEY 26486, LEY ORGÁNICA DEL JURADO NACIONAL DE ELECCIONES;Propone modificar el artículo 11 de la Ley Orgánica del Jurado Nacional de Elecciones, Ley 26486, para garantizar el funcionamiento del Pleno del Jurado Nacional de Elecciones ante la declinación irrevocable uno de sus miembros.
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN, IMPLEMENTACIÓN Y FUNCIONAMIENTO DE LA UNIVERSIDAD NACIONAL ASHANINKA DEL VRAEM. (UNA-VRAEM);Propone crear de la Universidad Nacional Ashaninka del VRAEM, (UNA-VRAEM), con personería jurídica de derecho público interno, con sede en el vale del VRAEM, departamento de Cusco.
LEY QUE DECLARA OFICIALES E INTANGIBLES LOS SÍMBOLOS Y EMBLEMAS DEL PERÚ;Propone establecer los símbolos y emblemas del Perú, la intangibilidad de forma y la estandarización sus denominaciones. En cumplimiento del mandato contenido en el Artículo 49 de la Constitución Política del Perú, son establecidos en la presente Ley, en concordancia con lo dispuesto por la Ley del 25 de febrero de 1825, Ley de creación del Escudo Nacional, y del Pabellón y Bandera Nacional, y por el Decreto Ley 11323, Disposiciones sobre los Símbolos de la Patria, Símbolos del Estado y Emblemas Nacionales.
LEY DE ACTUALIZACIÓN Y SIMPLIFICACIÓN DE PROCEDIMIENTOS PARA LA INDUSTRIA DE HIDROCARBUROS;Propone promover la reactivación sostenible de la exploración y explotación de hidrocarburos a nivel nacional, empleamdo medidas de simplificación administrativa, así como actualizar y mejorar el marco normativo, a fin de fomentar el desarrollo de las actividades de exploración y explotación de hidrocarburos de manera responsable con el medio ambiente, mediante la modificación de la Ley 26221, Ley Orgánica de Hidrocarburos.
LEY DE REFORMA CONSTITUCIONAL QUE RESTABLECE EL SISTEMA BICAMERAL EN LA ESTRUCTURA DEL CONGRESO DE LA REPÚBLICA;Propone modificar los artículos de la Constitución Política del Perú, referido a la estructura, funcionamiento y prerrogativas del Congreso de la República.
LEY QUE DETERMINA, COMO PENSIÓN MINIMA, LA EQUIVALENTE A UNA REMUNERACIÓN MINIMA VITAL PARA LOS PENSIONISTAS DEL SISTEMA NACIONAL DE PENCIONES;Propone determinar la pasión mínima, que corresponda a una Remuneración Mínima Vital (RMV), para todos los pensionistas pertenecientes al Sistema Nacional de Pensiones, que es administrada por la Oficina de Normalización Previsional (ONP).
LEY QUE CREA EL RÉGIMEN DE PENSIONES DE JUBILACIÓN REDUCIDAS PROPORCIONALES PARA AFILIADOS CON MENOS DE 20 AÑOS DE APORTACIONES A LA OFICINA DE NORMALIZACIÓN PREVISIONAL Y ESTABLECE MODIFICACIONES AL SISTEMA NACIONAL DE PENSIONES;Propone crear un régimen de pensiones de jubilación reducidas proporcionales para afiliados con menos de 20 años de aportaciones a la Oficina de Normalización Previsional, así como establecer modificaciones al Sistema Nacional de Pensiones (SNP).
LEY QUE CREA EL FONDO UNIVERSAL DE ALTO COSTO EN SALUD;Propone crear el Fondo Universal de Alto Costo en Salud (Fondo Salud) como mecanismo nacional para brindar cobertura a los tratamientos de enfermedades de alto costo, así como establecer las disposiciones necesarias para su funcionamiento.
LEY QUE RECONOCE AL DISTRITO DE VILCABAMBA COMO EL ÚLTIMO BASTIÓN DE LA RESISTENCIA INCA;Propone reconocer al distrito de Vilcabamba, provincia de La Convención, del departamento de Cusco, como último bastión de la resistencia inca,
