Titulo;Objeto
LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA REHABILITACIÓN DE LA AV. PROCERES DE LA INDEPENDENCIA, EN EL DISTRITO DE SAN JUAN DE LURIGANCHO, PROVINCIA Y DEPARTAMENTO DE LIMA;Propone declarar de interés nacional y necesidad pública la rehabilitación de la Av Próceres de la Independencia, en el distrito de San Juan de Lurigancho, provincia y departamento de Lima.
LEY QUE MOFICICA EL ARTICULO 12 E INCORPORA EL TÍTULO VII DE EDUCACIÓN, EVALUACIÓN Y BENEFICIOS EN LA LEY 29108, LEY DE ASCENSOS DE OFICIALES DE LAS FUERZAS ARMADAS;"Propone modificar el artículo  12 e incorporar el Título VII, referido a Educación, Evaluación y Beneficios en la Ley 29108, Ley de ascensos de Oficiales de las Fuerzas Armadas, con la finalidad de mejorar la formación de los oficiales de las fuerzas armadas; promoviendo el aprendizaje de nuevos conocimientos especializados, competencias y capacidades como condiciones de calificación en su hoja de vida con mira al proceso de ascenso; garantizándose una línea de carrera profesional que permita seleccionar y promover a los oficiales más idóneos, sobre la base del mérito, competencia, imparcialidad y transparencia, en estricto cumplimiento al Principio de Igualda"
LEY QUE RECONOCE COMO PATRIMONIO HISTÓRICO Y PATRIOTISMO EL LEGADO HISTÓRICO DE LA BATALLA DE CONDORCUYO EN PROVINCIA DE AZANGARO, REGION PUNO, Y DISPONE SU INCORPORACION EN LA AGENDA DE CONMEMORACIÓN DEL BICENTENARIO POR LA INDEPENDENCIA DEL PERÚ;Propone declarar el 13 de mayo de cada año como el Día Nacional de la Batalla de Condorcuyo ocurrido en 1781 en la Provincia de Azángaro, del departamento de Puno, con motivo de conmemorar el esfuerzo emancipador por la independencia del Perú, y proteger nuestro legado histórico en el marco del bicentenario.
"LEY QUE DECLARA A TOMASA TITO CONDEMAYTA """"LA CACICA DE ACOS"""" COMO PRECURSORA DE LA INDEPENDENCIA DEL PERÚ";"Propone declarar a Tomasa Tito Condemayta """"La Cacica de Acos"""" como precursora de la independencia del Perú."
LEY QUE REGULA LA TRANSPARENCIA EN EL GASTO DE LAS ORGANIZACIONES POLÍTICAS EN REDES SOCIALES Y GARANTIZA LA PROTECCIÓN DE DATOS PERSONALES EN PROPAGANDA ELECTORAL;Propone regular la transparencia en el financiamiento y gasto de propaganda electoral en redes sociales y/u otras plataformas de internet de las organizaciones políticas, y garantizar la protección de datos personales en la realización de propaganda electoral.
LEY DE ACTUALIZACIÓN Y SIMPLIFICACIÓN DE PROCEDIMIENTOS PARA LA INDUSTRIA DE HIDROCARBUROS;Propone promover la reactivación sostenible de la exploración y explotación de hidrocarburos a nivel nacional, empleamdo medidas de simplificación administrativa, así como actualizar y mejorar el marco normativo, a fin de fomentar el desarrollo de las actividades de exploración y explotación de hidrocarburos de manera responsable con el medio ambiente, mediante la modificación de la Ley 26221, Ley Orgánica de Hidrocarburos.
LEY DE CREACIÓN DEL CONSEJO PERUANO DE ACREDITACIÓN DE LA EDUCACIÓN SUPERIOR;Propone crear el Consejo Peruano de Acreditación de la Educación Superior (COPAES), y la definición de responsabilidades, alcances y procedimientos necesarios para impulsar el mejoramiento continuo de la calidad de la educación superior mediante el proceso de acreditación de las instituciones y programas de educación superior.
LEY QUE CREA LA AUTORIDAD NACIONAL TRANSPARENCIA, ACCESO A LA INFORMACIÓN PÚBLICA Y PROTECCIÓN DE DATOS PERSONALES;Propone crear la Autoridad Nacional de Transparencia, Acceso a la Información Pública y Protección de Datos Personales (en adelante, la Autoridad) como ente rector en materia de transparencia, acceso a la información pública y protección de datos personales.
LEY QUE RECONOCE ACCESO A LA JUSTICIA DE LAS PERSONAS USUARIAS EN SALUD Y LA AUTONOMÍA DE LA SUPERINTENDENCIA NACIONAL DE SALUD;Propone autonomía e independencia de la Superintendencia Nacional de Salud, asimismo fortalecer el acceso de las personas usuarias de los servicios de salud a través de mecanismos alternativos de resolución de conflictos, la vigilancia y la participación ciudadana a nivel nacional.
LEY PARA EL FORTALECIMIENTO DE LA TRANSPARENCIA EN LA GESTIÓN DE LOS PASIVOS AMBIENTALES MINEROS;Propone el fortalecimiento de los mecanismos de la transparencia en la gestión de los pasivos ambientales mineros a nivel nacional.
LEY QUE MODIFICA LA LEY 28090, LEY QUE REGULA EL CIERRE DE MINAS;Propone modificar la Ley 28090, Ley que regula el Cierre de Minas, a fin de adecuar la norma a los cambios que se han producido luego de su emisión y a las competencias actuales que ejercen las entidades involucradas.
LEY QUE DISPONE QUE LOS MIEMBROS DE LA FUERZAS ARMADAS Y POLICIALES, PROCESADOS O CONDENADOS POR DELITO COMUNES, CUMPLAN  DETENCIÓN EN CENTROS DE RECLUSÍON MILITARES O POLICIALES;Propone establecer que los miembros de las Fuerzas Armadas y de la Policía Nacional del Perú, que hayan sido procesados o condenados por delitos comunes, cumplan su pena  restrictiva de la libertad en centros de reclusión militar o policial, según corresponda, a fin de preservar su vida e integridad.
LEY QUE DECLARA PRECURSOR DE LA INDEPENDENCIA DEL PERÚ A: JUAN VÉLEZ DE CÓRDOVA SALGADO Y ARAUJO;Propone declarar Precursor de la Independencia del Perú a Juan Vélez de Córdova Salgado y Araujo por su acción en bien de la Independencia nacional, debiendo conmemorarse el 6 de julio de cada año con el reconocimiento de todo el país en mérito a su sacrificio ofrendando su vida por la Patria.
LEY QUE DEROGA EL DERECHO SUPREMO 090-2021-PCM QUE APRUEBA EL CAMBIO DE DEPENDENCIA DE LA SECRETARÍA TÉCNICA DE APOYO A LA COMISIÓN AD HOC CREADA POR EL DECRETO SUPREMO 006-2012-EF, DEL MINISTERIO DE ECONOMÍA Y FINANZA A LA PRESIDENCIA DEL CONSEJO DE MINISTROS;Propone derogarse el Decreto Supremo 090-2021-PCM, que aprueba el cambio de dependencia de la Secretaría Técnica de apoyo a la Comisión Ad Hoc creada por el Decreto Supremo 006-2012-EF del Ministerio de Economía y Finanzas a la Presidencia del Consejo de Ministro.
LEY DE REASIGNACIÓN DE LOS TRABAJADORES DEL MINSA, Y SUS ORGANISMOS PÚBLICOS DE LAS UNIDADES EJECUTORAS DE SALUD DE LOS GOBIERNOS REGIONALES QUE PADECEN DE CÁNCER Y OTRAS ENFERMEDADES TERMINALES;Propone establecer la reasignación de los trabajadores y de familiares directos del Ministerio de Salud (MINSA) y sus organismos públicos de las Unidades Ejecutoras de Salud de los Gobiernos Regionales que se encuentren con diagnóstico de cáncer y otras enfermedades terminales, a las dependencias de salud de destino para el tratamiento y mejore la calidad de vida.
LEY QUE MODIFICA LA QUINTA DISPOSICIÓN COMPLEMENTARIA FINAL DEL DECRETO LEGISLATIVO 1275: DECRETO LEGISLATIVO QUE APRUEBA EL MARCO DE LA RESPONSABILIDAD Y TRANSPARENCIA FISCAL DE LOS GEBIERNOS REGIONALES Y GOBIERNOS LOCALES;Propone modificar la Quinta Disposición Complementaria Final del Decreto Legislativo 1275: Decreto Legislativo que Aprueba el marco de la Responsabilidad y transparencia Fiscal de los Gobiernos Regionales y Gobiernos Locales, respecto de la excepcionalidad del informe previo de Evaluación de la sostenibilidad Fiscal de la Municipalidades Fronterizas.
LEY QUE PERMITE UNA INVESTIGACIÓN PLENA EN MATERIA DE RESPONSABILIDAD DE PERSONAS JURÍDICAS EN EL MARCO DE LA LEY 30424;Propone modificar la Ley 30424 que Regula la Responsabilidad Administrativa de las Personas Jurídicas, con el fin proteger la autonomía del Ministerio Público como titular de la acción penal y disminuir la probabilidad de que genere espacios de impunidad en la aplicación de este tipo de delitos fortaleciendo lucha contra la corrupción y el lavado de activos.
LEY QUE RECONOCE  Y DECLARA A LA BATALLA DE ZEPITA O CHUA CHUA COMO DÍA NACIONAL EL 25 DE AGOSTO CON OCASIÓN DEL BICENTENARIO DE LA INDEPENDENCIA DEL PERÚ;Propone declarar como día nacional, cada 25 de agosto de cada año en homenaje a la Batalla de Zapita o Chau Chau, ocurrido en 1823 en Chucuito, departamento de Puno, el cual permitió consolidar las posiciones del Ejercito Libertador y permitiendo la independencia del país en 1824.
LEY DE INTERÉS HISTÓRICA NACIONAL QUE DECLARA HÉROE DE LA INDEPENDENCIA DEL PERÚ A BASILIO AUQUI HUAYTALLA DEL DISTRITO DE LOS MOROCHUCOS - PROVINCIA DE CANGALLO - AYACUCHO;"Propone reconocer el protagonismo histórico de Pablo Basilio Auqui Huaytalla en el proceso de la lucha por la independencia del Perú del dominio español, declarándolo como héroe nacional de la independencia; esto en el marco de la celebraciónes del Bicentenario de la Proclamación de la Independencia de nuestro país."
"LEY QUE DECLARA """"CIUDAD BENEMÉRITA Y HERÓICA"""" A LA CUIDAD DE ZAPITA, PROVINCIA DE CHUCUITO, DEPARTAMENTO DE PUNO Y DISPONE SU INCORPORACIÓN EN LA AGENDA DE CONMEMORACIÓN DEL BICENTENARIO POR LA INDEPENDENCIA DEL PERÚ";"Propone declarar como """"Ciudad Benemérita y Heroica"""" a la ciudad de Zepita, provincia de Chucuito y departamento de Puno, así como el 25 de agosto de cada año como Día Nacional de la Batalla de Zepita, con la finalidad de fortalecer la identidad historica de la Región Puno, revalorando y reivindicando este acontecimiento historico que favoreció la independencia del Perú."
LEY DE CREACIÓN DEL DISTRITO HUAYCÁN EN LA PROVINCIA Y DEPARTAMENTO DE LIMA;Propone crear el distrito Huaycán, con su capital Huaycán, en la provincia y departamento de Lima (Proyecto actualizado por acuerdo del Consejo Directivo número anterior 5118/2015-PE)
LEY QUE RECONOCE LA BATALLA DE CHUA CHUA- ZEPITA COMO PATRIMONIO Y SÍMBOLO DE PATRIOTISMO E IDENTIDAD NACIONAL, OCURRIDO EN LAS PAMPAS DE CHUA CHUA DEL DISTRITO DE ZEPITAPROVINCIA DE CHUCUITO, DEPARTAMENTO DE PUNO, EN EL MARCO DEL BICENTENARIO DEL PERÚ: 200 AÑOS DE INDEPENDENCIA;Propone establecer el reconocimiento de la Batalla de Zapita como símbolo de patriotismo e identidad nacional ocurrido en las pampas de Chua Chua del departamento de Puno, en el marco del bicentenario del Perú: 200 años de independencia, con la finalidad de poner en valor la contribución historica del departamento de Puno.
LEY QUE MODIFICA LA QUINTA DISPOSICIÓN COMPLEMENTARIA FINAL DEL DECRETO LEGISLATIVO 1275 QUE APRUEBA EL MARCO DE LA RESPONSABILIDAD Y TRANSPARENCIA FISCAL DE LOS GOBIERNOS REGIONALES Y GOBIERNOS LOCALES;Propone modificar la quinta disposición complementaria final del Decreto Legislativo 1275 que aprueba el marco de la responsabilidad y transparencia fiscal de los Gobiernos Regionales y Gobierno Locales
LEY QUE DECLARA DE INTERÉS NACIONAL Y DE NECESIDAD PÚBLICA LA CREACIÓN DE LA PROVINCIA DE YARINACOCHA, EN EL DEPARTAMENTO DE UCAYALI;Propone declarar de interés nacional y de necesidad pública la creación de la provincia Yarinacocha nacida del territorio actual de la provincia de Coronel Portillo en el departamento de Ucayali.
LEY QUE PROHIBE LA ALTERACIÓN DE LA GRAMÁTICA Y LINGÜISTICA Y ENFOQUE DE GENERO EN EL SISTEMA EDUCATIVO NACIONAL, EN ARAS DE GARANTIZAR EL CORRECTO USO DEL LENGUAJE, EN SALVAGUARDA DE LA INTEGRIDAD PSICOLÓGICA DE LA NIÑEZ;Propone prohibir la alteracion de la gramática y lingüistica y enfoque de género en el sistema educativo nacional, en aras de garantizar el correcto uso del lenguaje, en salvaguarda de la integridad psicologica de la niñez.
LEY QUE DECLARA A LOS HERMANOS LANDA DE MOQUEGUA COMO PRÓCERES DE LA INDEPENDECIA DEL PERÚ;Propone declara a los hermanos Landa de Moquegua como Próceres de la Independencia del Perú, en el marco de lascelebracionespor el Bicentenario de la Proclamación de Independencia del País
LEY QUE ESTABLECE FUNCIONES SANCIONADORAS DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA EN MATERIA DE RESPONSABILIDAD ADMINISTRATIVA FUNCIONAL Y RESTITUYE LA AUTONOMÍA TÉCNICA Y FUNCIONAL DEL TRIBUNAL SUPERIOR DE RESPONSABILIDADES ADMINISTRATIVAS;Propone establecer funciones sancionadoras de la Contraloría General de la República en materia de responsabilidad administrativa funcional y restituir la autonomia técnica y funcional del Trubunal Superior de Responsabilidades Administrativas.
LEY QUE CREA EL MINISTERIO DE AGUA, ESTABLECE UNA POLITICA HÍDRICA PARA LOS AÑOS 2021 - 2041, REGULA LA ACCESIBILIDAD A SERVICIOS PÚBLICOS HÍDRICOS Y EL MANTENIMIENTO DE LAS FUENTES ACUIFERAS;Propone crear el Ministerio del Agua, como órgano de gestión vinculado al poder ejecutivo, dependiente de la Presidencia del Consejo de Ministros.
